,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
287, 2019 Chevrolet Corvette Stingray Z51,"5,968","Stockton, CA 95212",4.5, Gasoline,16,25, RWD, 6.2L V8 16V GDI OHV, Long Beach Red Metallic Tintcoat,-1, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Stability Control']","$62,988"
288,Certified 2020 Honda Civic LX,"23,079","Stockton, CA 95210",4.9, Gasoline,30,38, FWD, 2.0L I4 16V MPFI DOHC, Silver Metallic, Black, Automatic CVT,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$18,982"
289, 2020 Chevrolet Malibu LT,"18,663","Stockton, CA 95212",5, Gasoline,29,36, FWD, 1.5L I4 16V GDI DOHC Turbo, Summit White, Black, Automatic CVT,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$18,646"
290,Certified 2018 Chevrolet Equinox 1LT,"59,720","Stockton, CA 95212",4.8, Gasoline,26,32, FWD, 1.5L I4 16V GDI DOHC Turbo, Silver Ice Metallic, Jet Black, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$17,999"
291, 2020 Chevrolet Colorado WT,775,"Stockton, CA 95212",4.5, Gasoline,20,26, RWD, 2.5L I4 16V GDI DOHC, Satin Steel Metallic,-1, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Stability Control']","$27,988"
292, 2019 Nissan Altima 2.5 S,"33,430","Stockton, CA 95212",5, Gasoline,28,39, FWD, 2.5L I4 16V GDI DOHC, White Glacier, Black, Automatic CVT,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$17,752"
293, 2018 Chevrolet Silverado 1500 Custom,"19,081","Stockton, CA 95212",4.5, Gasoline,18,24, RWD, 5.3L V8 16V GDI OHV, Summit White,-1, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$38,988"
294, 2020 Acura MDX 3.5L w/Technology Package,"12,012","Stockton, CA 95202",4.2, Gasoline,19,26, AWD, 3.5L V6 24V GDI SOHC, Silver, Ebony, 9-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning']","$43,990"
295, 2019 INFINITI QX60 Luxe,"36,103","Stockton, CA 95202",4.2, Gasoline,19,26, AWD, 3.5L V6 24V GDI DOHC, Silver, Black, Automatic CVT,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$30,990"
296, 2020 Jeep Cherokee Latitude Plus,"14,307","Stockton, CA 95202",4.2, Gasoline,22,31, FWD, 2.4L I4 16V MPFI SOHC, Burgundy, Black, 9-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Rear Cross Traffic Alert']","$22,590"
297, 2018 BMW 540 i xDrive,"35,515","Stockton, CA 95202",3.6, Gasoline,20,29, AWD, Intercooled Turbo Premium Unleaded I-6 3.0 L/183, Black Sapphire Metallic,-1, Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$34,499"
298,Certified 2018 Ford Explorer sport,"22,371","Sacramento, CA 95841",1.2, Gasoline,16,22, 4WD, 3.5L V6 24V GDI DOHC Twin Turbo, White Platinum Tri-Coat Metallic, Ebony, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$41,988"
299, 2014 Toyota Corolla S Plus,"90,871","Sacramento, CA 95841",5, Gasoline,28,37, FWD, 1.8L 4 Cylinders, Super White, Black, Automatic,['Bluetooth'],"['Backup Camera', 'Stability Control']","$12,785"
300,Certified 2019 Ford Fiesta SE,"9,959","Sacramento, CA 95841",1.2, Gasoline,27,35, FWD, 1.6L I4 16V MPFI DOHC, Lightning Blue Metallic, Charcoal Black, 6-Speed Automatic with Auto-Shift,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$14,988"
301, 2017 Cadillac CTS 2.0L Turbo Luxury,"23,275","Carmichael, CA 95608",3.5, Gasoline,22,30, AWD, Turbocharged Gas I4 2.0L/122, Radiant Silver Metallic, Jet Black with Jet Black Accents, Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$25,480"
302, 2019 GMC Acadia Denali,"16,214","Carmichael, CA 95608",3.5, Gasoline,18,25, FWD, Gas V6 3.6L/222, Summit White, Cocoa/ Shale, Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$34,780"
303, 2017 GMC Yukon Denali,"49,164","Carmichael, CA 95608",3.5, Gasoline,15,21, 4WD, Gas V8 6.2L/376, Dark Sapphire Blue Metallic, Cocoa/Shale, Automatic,"['Bluetooth', 'Rear Seat Entertainment', 'Apple CarPlay/Android Auto']",['Backup Camera'],"$47,199"
304, 2017 Alfa Romeo Giulia Ti,"28,491","Carmichael, CA 95608",3.5, Gasoline,23,31, AWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/122, Vesuvio Gray Metallic, Black, Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Rear Cross Traffic Alert']","$24,799"
305, 2017 BMW 530 i xDrive,"26,427","Carmichael, CA 95608",3.5, Gasoline,23,33, AWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/122, Jet Black,-1, Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$29,900"
306,Certified 2018 Ford Escape SEL,"26,652","Sacramento, CA 95841",1.2, Gasoline,22,28, 4WD, 1.5L I4 16V GDI DOHC Turbo, Shadow Black, Charcoal Black, 6-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$26,988"
307, 2019 Nissan Sentra S,"29,497","Sacramento, CA 95821",4.9, Gasoline,27,35, FWD, 1.8L I4 16V MPFI DOHC, Deep Blue Pearl, Charcoal, Automatic CVT,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$15,990"
308, 2014 Toyota Tacoma Base,"102,342","Sacramento, CA 95821",3.4, Gasoline,19,244, RWD, 2.7L I4 16V MPFI DOHC, Red, Graphite, 4-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$16,777"
309,Certified 2020 Subaru Premium,"9,276","Sacramento, CA 95821",4.5, Gasoline,26,33, AWD, 2.5L H4 16V GDI DOHC, Tungsten Metallic, Ivory, Automatic CVT,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$29,657"
310, 2020 Hyundai Palisade SEL,"23,178","Sacramento, CA 95821",4.7, Gasoline,19,26, FWD, 3.8L V6 24V GDI DOHC, Steel / Graphite, Black, 8-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$38,999"
311, 2018 Toyota Camry LE,"25,487","Citrus Heights, CA 95621",4.7, Gasoline,28,39, FWD, 2.5L I4 16V PDI DOHC, Silver,-1, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$23,999"
312,Certified 2020 Nissan Altima 2.5 S,"2,803","Sacramento, CA 95821",4.9, Gasoline,28,39, FWD, 2.5L I4 16V GDI DOHC, Gun Metallic, Charcoal, Automatic CVT,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$19,990"
