,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
555, 2019 Chevrolet Malibu LT,"32,798","Newberg, OR 97132",4.5, Gasoline,29,36, FWD, 1.5L I4 16V GDI DOHC Turbo, Summit White, Jet Black, Automatic CVT,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$19,600"
556, 2020 Volkswagen Jetta 1.4T SEL,5,"Salem, OR 97301",4.3, Gasoline,30,40, FWD, 1.4L I4 16V GDI DOHC Turbo, Tornado Red, Black, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$21,199"
557, 2010 Ford Escape Limited,"92,310","Salem, OR 97301",4.3, E85 Flex Fuel,21,28, FWD, 3.0L V6 24V MPFI DOHC Flexible Fuel, White Suede,-1, 6-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$9,490"
558,Certified 2019 Volkswagen Golf Alltrack TSI S,"9,427","Salem, OR 97301",4.3, Gasoline,22,30, AWD, 1.8L I4 16V GDI DOHC Turbo, Platinum Gray Metallic, Titan Black, 6-Speed Automatic with Auto-Shift,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor']","$24,990"
559, 2018 Honda Fit EX,"12,620","Salem, OR 97301",4.3, Gasoline,31,36, FWD, 1.5L I4 16V GDI DOHC, White Orchid Pearl, Black, Automatic CVT,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Lane Departure Warning']","$16,990"
560, 2015 BMW 320 i xDrive,"74,740","Salem, OR 97301",4.9, Gasoline,23,35, AWD, 2.0L I4 16V GDI DOHC Turbo, Mineral Gray Metallic, Black, 8-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$15,995"
561, 2015 Cadillac ATS 2.0L Turbo Performance,"89,562","Salem, OR 97301",4.3, Gasoline,21,30, RWD, 2.0L I4 16V GDI DOHC Turbo, Crystal White Tri-Coat, Light Neutral, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Lane Departure Warning']","$17,990"
562, 2018 Honda Accord EX,"63,019","Salem, OR 97301",4.9, Gasoline,30,38, FWD, 1.5L I4 16V GDI DOHC Turbo, Modern Steel Metallic, Black, Automatic CVT,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$21,995"
563, 2018 Hyundai Elantra GT Base,"47,921","Salem, OR 97301",4.3, Gasoline,24,32, FWD, 2.0L I4 16V GDI DOHC, Ceramic White, Black, 6-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Rear Cross Traffic Alert']","$15,990"
564,Certified 2018 Honda CR-V EX,"19,593","Salem, OR 97301",4.9, Gasoline,27,33, AWD, 1.5L I4 16V GDI DOHC Turbo, Lunar Silver Metallic, Black, Automatic CVT,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$25,995"
565,Certified 2018 BMW 320 i xDrive,"18,267","Salem, OR 97301",4.9, Gasoline,23,34, AWD, 2.0L I4 16V GDI DOHC Turbo, Mineral Gray Metallic, Black, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$24,990"
566, 2016 INFINITI QX50 Base,"44,160","Salem, OR 97301",4.9, Gasoline,17,24, AWD, 3.7L V6 24V MPFI DOHC, Liquid Platinum, Graphite, 7-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$20,990"
567, 2015 Lexus NX 200t Base,"63,949","Salem, OR 97301",4.9, Gasoline,22,28, FWD, 2.0L I4 16V PDI DOHC Turbo, Nebula Gray Pearl, Black, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Rear Cross Traffic Alert']","$23,990"
568, 2014 BMW 320 i xDrive,"61,533","Salem, OR 97301",4.9, Gasoline,23,35, AWD, 2.0L I4 16V GDI DOHC Turbo, Sparkling Bronze Metallic, Black, 8-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$16,990"
569, 2020 Hyundai Santa Fe SEL 2.4,"21,386","Salem, OR 97301",4.9, Gasoline,21,27, AWD, 2.4L I4 16V GDI DOHC, Calypso Red, Black / Beige, 8-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$25,990"
570, 2016 Honda Civic LX,"87,718","Salem, OR 97301",4.9, Gasoline,31,41, FWD, 2.0L I4 16V MPFI DOHC, Lunar Silver Metallic, Black, Automatic CVT,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$13,990"
571, 2018 Audi A4 allroad 2.0T Tech Premium,"26,048","Salem, OR 97301",4.9, Gasoline,22,30, AWD, 2.0L I4 16V GDI DOHC Turbo, Ibis White, Black, 7-Speed Automatic with Auto-Shift,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$36,500"
572, 2016 Nissan Rogue SL,"60,066","Salem, OR 97301",4.9, Gasoline,25,32, AWD, 2.5L I4 16V MPFI DOHC, Magnetic Black, Charcoal, Automatic CVT,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$21,000"
573, 2017 INFINITI Q50 3.0t Signature Edition,"16,227","Salem, OR 97302",3.6, Gasoline,19,27, RWD, Twin Turbo Premium Unleaded V-6 3.0 L/183, Majestic White, Wheat, Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$24,500"
574, 2019 Toyota 4Runner SR5,"59,525","Salem, OR 97302",3.6, Gasoline,17,21, RWD, Regular Unleaded V-6 4.0 L/241, White,-1, Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$31,500"
575, 2018 Toyota Highlander LE Plus,"28,930","Salem, OR 97302",3.6, Gasoline,21,27, FWD, Regular Unleaded V-6 3.5 L/211, Midnight Black Metallic,-1, Automatic,['Bluetooth'],['Backup Camera'],"$27,380"
576, 2019 Mazda CX-5 Grand Touring,"24,125","Salem, OR 97302",3.6, Gasoline,24,30, AWD, Regular Unleaded I-4 2.5 L/152, Machine Gray Metallic, Parchment, Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$26,130"
